time_ISO8601,d18O,d18O_sd,d2H,d2H_sd,dexc,dexc_sd,H2O,H2O_sd
2017-01-22T09:00:00+00:00,-12.6300688002,0.197102488224,-92.7631765368,1.38125854833,8.27737386506,2.2882058132,14972.6598447,202.366185189
2017-01-22T10:00:00+00:00,-12.9303479968,0.186387104222,-95.4411964497,1.53081576325,8.00158752464,2.2693801064,14297.4905211,287.374907932
2017-01-22T11:00:00+00:00,-12.8120214854,0.296703305782,-94.5264011682,2.30096731768,7.96977071505,2.28134489517,14467.1366513,457.003767237
2017-01-22T12:00:00+00:00,-12.4741900178,0.211217036491,-91.3688164058,1.60020129877,8.4247037367,2.21683805447,15224.5961007,249.567751479
2017-01-22T13:00:00+00:00,-12.5430340314,0.169261553375,-93.2619327489,1.4049028621,7.08233950251,2.40231009619,14866.7351251,163.024804381
2017-01-22T14:00:00+00:00,-12.2683733763,0.329926574231,-90.2776256226,2.08816622669,7.86936138798,2.61371209181,15115.6584952,172.984061728
2017-01-22T15:00:00+00:00,-11.7464361959,0.197510590616,-87.3447983898,1.36636885922,6.62669117756,2.31465846678,14917.0136209,215.229909406
2017-01-22T16:00:00+00:00,-11.3200318699,0.236819200264,-84.4013486079,1.79156792996,6.15890635109,2.32981098986,15182.8823299,255.41977897
2017-01-22T17:00:00+00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2017-01-22T18:00:00+00:00,-12.032946644,0.203397010261,-89.2296354475,1.31838997803,7.03393770414,2.30589962499,14028.7224306,119.789149516
2017-01-22T19:00:00+00:00,-12.1071235534,0.194529021228,-88.764909466,1.54223602787,8.09207896107,2.36107586261,14147.9119026,194.405443099
2017-01-22T20:00:00+00:00,-11.288593692,0.238279985594,-85.3321172888,1.54579793539,4.97663224716,2.51416647191,14287.6137236,382.780710725
2017-01-22T21:00:00+00:00,-10.8350119724,0.310929721936,-85.1435776006,1.40985780749,1.53651817856,2.63175264096,13876.1834365,128.296642977
2017-01-22T22:00:00+00:00,-10.4375411353,0.171149594803,-84.3211194647,1.20766360921,-0.820790382305,2.29223535196,13851.8330787,45.5107512373
2017-01-22T23:00:00+00:00,-10.4582059144,0.166479931065,-84.3566881634,1.21758593135,-0.691040848583,2.23591722071,13851.2976522,44.3760422427
